StopCount,StopCountDrugs,LSOA21CD,Borough,PopulationLSOA,EthnicMinority,IncomeDomainScore,CrimeSum,DrugCrimeSum,MeanHousePrice,PoliceDept,StopCount_z,EthnicMinority_z,MeanHousePrice_z,CrimeSum_z,DrugCrimeSum_z,IncomeDomainScore_z,gini
127.0,111.0,E01006434,Knowsley,1518,1.91,0.361,228.0,23.0,123955.0,Merseyside,0.574,-0.673,-0.769,0.151,0.382,1.237,0.1109044408277144
98.0,83.0,E01006435,Knowsley,1524,3.35,0.37,149.0,18.0,134664.0,Merseyside,0.345,-0.505,-0.66,-0.146,0.204,1.307,0.2193797934858395
373.0,326.0,E01006436,Knowsley,1457,3.29,0.384,307.0,58.0,111733.0,Merseyside,2.511,-0.512,-0.893,0.449,1.629,1.416,0.1397403379046472
534.0,434.0,E01006437,Knowsley,1387,3.03,0.326,921.0,72.0,119648.0,Merseyside,3.779,-0.542,-0.813,2.759,2.128,0.966,0.5948272108570127
38.0,32.0,E01006438,Knowsley,1153,5.29,0.099,91.0,7.0,331221.0,Merseyside,-0.127,-0.279,1.342,-0.364,-0.188,-0.796,0.2474593495934959
10.0,8.0,E01006439,Knowsley,1657,2.96,0.22,153.0,3.0,240177.0,Merseyside,-0.348,-0.551,0.415,-0.131,-0.33,0.143,0.1811228880328495
95.0,70.0,E01006440,Knowsley,1400,3.64,0.422,220.0,14.0,129103.0,Merseyside,0.322,-0.471,-0.716,0.121,0.062,1.71,0.3451973077129621
140.0,118.0,E01006442,Knowsley,1481,2.77,0.394,195.0,35.0,138375.0,Merseyside,0.676,-0.573,-0.622,0.027,0.81,1.493,0.1500764894486473
137.0,115.0,E01006443,Knowsley,1469,3.54,0.433,189.0,27.0,125261.0,Merseyside,0.652,-0.483,-0.755,0.005,0.525,1.796,0.4243992692331142
132.0,106.0,E01006444,Knowsley,1385,7.08,0.412,228.0,21.0,108152.0,Merseyside,0.613,-0.07,-0.93,0.151,0.311,1.633,0.3418783111936964
74.0,60.0,E01006445,Knowsley,1266,5.37,0.406,240.0,19.0,199442.68397291197,Merseyside,0.156,-0.27,0.0,0.196,0.24,1.586,0.4704867446184082
142.0,114.0,E01006446,Knowsley,1451,2.76,0.408,280.0,25.0,127475.0,Merseyside,0.692,-0.574,-0.733,0.347,0.453,1.602,0.4815426747844193
246.0,215.0,E01006447,Knowsley,1382,5.14,0.415,248.0,45.0,105992.0,Merseyside,1.511,-0.296,-0.952,0.227,1.166,1.656,0.2057801184990125
135.0,125.0,E01006448,Knowsley,2156,4.55,0.519,240.0,23.0,106469.0,Merseyside,0.637,-0.365,-0.947,0.196,0.382,2.463,0.138585903503478
17.0,11.0,E01006449,Knowsley,1595,3.57,0.2,81.0,3.0,179895.0,Merseyside,-0.293,-0.479,-0.199,-0.402,-0.33,-0.012,0.1503227819710179
89.0,72.0,E01006450,Knowsley,1713,9.46,0.35,214.0,21.0,163720.0,Merseyside,0.274,0.207,-0.364,0.099,0.311,1.152,0.3377628428143034
40.0,11.0,E01006451,Knowsley,1417,2.82,0.259,111.0,1.0,164666.0,Merseyside,-0.112,-0.567,-0.354,-0.289,-0.402,0.446,0.1906748809857182
34.0,32.0,E01006452,Knowsley,1409,3.76,0.228,147.0,3.0,128364.0,Merseyside,-0.159,-0.457,-0.724,-0.153,-0.33,0.205,0.1315822079048445
56.0,43.0,E01006453,Knowsley,1183,4.65,0.421,161.0,10.0,106003.0,Merseyside,0.014,-0.354,-0.952,-0.101,-0.081,1.703,0.0851975627948427
16.0,16.0,E01006454,Knowsley,1546,2.78,0.143,69.0,11.0,188906.0,Merseyside,-0.301,-0.572,-0.107,-0.447,-0.045,-0.454,0.161877359453117
337.0,302.0,E01006455,Knowsley,1753,3.99,0.431,305.0,62.0,110390.0,Merseyside,2.227,-0.43,-0.907,0.441,1.772,1.78,0.165189761694616
97.0,77.0,E01006456,Knowsley,1521,2.43,0.19,138.0,16.0,205060.0,Merseyside,0.337,-0.612,0.057,-0.187,0.133,-0.09,0.3421891137627178
79.0,68.0,E01006457,Knowsley,1248,1.28,0.14,91.0,10.0,174469.0,Merseyside,0.196,-0.746,-0.254,-0.364,-0.081,-0.478,0.0848220931963674
59.0,46.0,E01006458,Knowsley,1548,4.26,0.298,133.0,15.0,158434.0,Merseyside,0.038,-0.399,-0.418,-0.206,0.097,0.748,0.1790304284166932
