StopCount,StopCountDrugs,LSOA21CD,Borough,PopulationLSOA,EthnicMinority,IncomeDomainScore,CrimeSum,DrugCrimeSum,MeanHousePrice,PoliceDept
127.0,111.0,E01006434,Knowsley,1518,1.91,0.361,228.0,23.0,123955.0,Merseyside
98.0,83.0,E01006435,Knowsley,1524,3.35,0.37,149.0,18.0,134664.0,Merseyside
373.0,326.0,E01006436,Knowsley,1457,3.29,0.384,307.0,58.0,111733.0,Merseyside
534.0,434.0,E01006437,Knowsley,1387,3.03,0.326,921.0,72.0,119648.0,Merseyside
38.0,32.0,E01006438,Knowsley,1153,5.29,0.099,91.0,7.0,331221.0,Merseyside
10.0,8.0,E01006439,Knowsley,1657,2.96,0.22,153.0,3.0,240177.0,Merseyside
95.0,70.0,E01006440,Knowsley,1400,3.64,0.422,220.0,14.0,129103.0,Merseyside
140.0,118.0,E01006442,Knowsley,1481,2.77,0.394,195.0,35.0,138375.0,Merseyside
137.0,115.0,E01006443,Knowsley,1469,3.54,0.433,189.0,27.0,125261.0,Merseyside
132.0,106.0,E01006444,Knowsley,1385,7.08,0.412,228.0,21.0,108152.0,Merseyside
74.0,60.0,E01006445,Knowsley,1266,5.37,0.406,240.0,19.0,,Merseyside
142.0,114.0,E01006446,Knowsley,1451,2.76,0.408,280.0,25.0,127475.0,Merseyside
246.0,215.0,E01006447,Knowsley,1382,5.14,0.415,248.0,45.0,105992.0,Merseyside
135.0,125.0,E01006448,Knowsley,2156,4.55,0.519,240.0,23.0,106469.0,Merseyside
17.0,11.0,E01006449,Knowsley,1595,3.57,0.2,81.0,3.0,179895.0,Merseyside
89.0,72.0,E01006450,Knowsley,1713,9.46,0.35,214.0,21.0,163720.0,Merseyside
40.0,11.0,E01006451,Knowsley,1417,2.82,0.259,111.0,1.0,164666.0,Merseyside
34.0,32.0,E01006452,Knowsley,1409,3.76,0.228,147.0,3.0,128364.0,Merseyside
56.0,43.0,E01006453,Knowsley,1183,4.65,0.421,161.0,10.0,106003.0,Merseyside
16.0,16.0,E01006454,Knowsley,1546,2.78,0.143,69.0,11.0,188906.0,Merseyside
337.0,302.0,E01006455,Knowsley,1753,3.99,0.431,305.0,62.0,110390.0,Merseyside
97.0,77.0,E01006456,Knowsley,1521,2.43,0.19,138.0,16.0,205060.0,Merseyside
79.0,68.0,E01006457,Knowsley,1248,1.28,0.14,91.0,10.0,174469.0,Merseyside
